HIP15457;49.83974539;3.3699706;109.14;269.34;93.48;0;4.9768
HIP15474;49.87904025;-21.75794265;11.9;51.55;32.5;0;3.7303
HIP15479;49.89542976;-24.12284675;2.91;5.55;-23;0;5.7006
HIP15549;50.08485954;29.04849836;4.75;-6.73;-16.09;0;4.5975
HIP15737;50.68863224;20.74210531;11.98;-52.21;-15.32;0;5.2483
HIP15863;51.08061891;49.86124287;5.36;24.21;-25.14;0;1.8972
HIP15890;51.16900549;64.58599617;2.38;-3.55;-0.37;0;5.1901
HIP15900;51.20349004;9.0290647;13.34;-66.51;-76.32;0;3.77
HIP16083;51.79217157;9.73277333;17.6;56.38;-33.63;0;3.7082
HIP16245;52.34244353;-62.93843439;46.71;382.75;373.58;0;4.8043
HIP16335;52.64367591;47.99517192;9.47;3.75;18.74;0;4.4945
HIP16369;52.71819541;12.93668245;8.74;18.57;-1.64;0;4.3077
HIP16537;53.23509001;-9.45830598;310.79;-975.08;20.33;0;3.8652
HIP16611;53.44686635;-21.63281597;10.94;44.72;-27.83;0;4.2359
HIP16852;54.2188292;0.40283334;73.51;-232.87;-481.99;0;4.4104
HIP16870;54.27365912;-40.27451103;17.47;-6.05;-25.3;0;4.7322
HIP17296;55.53894529;63.21675895;6.43;-17.42;18.46;0;5.0956
HIP17351;55.7088418;-37.31334481;18.19;-91.64;-70.53;0;4.7559
HIP17358;55.73117249;47.78765131;5.35;24.21;-36.43;0;2.9703
HIP17378;55.8123169;-9.76519858;110.38;-93.43;744.55;0;3.6796
HIP17440;56.04814251;-64.80709632;33.78;312.5;85.58;0;4.0019
HIP17499;56.218848;24.11344831;8.72;20.69;-46.3;0;3.6857
HIP17529;56.29851435;42.57854427;6.67;-14.71;-0.34;0;3.8717
HIP17531;56.30200877;24.46737844;9.52;19.58;-45.48;0;4.2724
HIP17573;56.45663794;24.36785788;8.99;20.62;-46.42;0;3.8591
HIP17593;56.53542684;-12.10173534;6.9;55.61;59.8;0;4.5239
HIP17608;56.58150131;23.94846178;9.06;22.31;-46.34;0;4.1534
HIP17651;56.7124543;-23.24843803;55.93;-159.89;-529.17;0;4.3164
